order_date,sku_id,location,quantity
2025-04-16,banana789,Mumbai,44
2025-04-16,banana789,Delhi,71
2025-04-16,banana789,Bangalore,53
2025-04-17,mango123,Mumbai,55
2025-04-17,mango123,Delhi,50
2025-04-17,mango123,Bangalore,64
2025-04-17,apple456,Mumbai,99
2025-04-17,apple456,Delhi,125
2025-04-17,apple456,Bangalore,81
2025-04-17,banana789,Mumbai,43
2025-04-17,banana789,Delhi,70
2025-04-17,banana789,Bangalore,33
2025-04-18,mango123,Mumbai,88
2025-04-18,mango123,Delhi,61
2025-04-18,mango123,Bangalore,67
2025-04-18,apple456,Mumbai,108
2025-04-18,apple456,Delhi,139
2025-04-18,apple456,Bangalore,101
2025-04-18,banana789,Mumbai,63
2025-04-18,banana789,Delhi,79
2025-04-18,banana789,Bangalore,58
2025-04-19,mango123,Mumbai,76
2025-04-19,mango123,Delhi,43
2025-04-19,mango123,Bangalore,84
2025-04-19,apple456,Mumbai,131
2025-04-19,apple456,Delhi,156
2025-04-19,apple456,Bangalore,129
2025-04-19,banana789,Mumbai,59
2025-04-19,banana789,Delhi,105
2025-04-19,banana789,Bangalore,54
2025-04-20,mango123,Mumbai,60
2025-04-20,mango123,Delhi,42
2025-04-20,mango123,Bangalore,74
2025-04-20,apple456,Mumbai,92
2025-04-20,apple456,Delhi,122
2025-04-20,apple456,Bangalore,79
2025-04-20,banana789,Mumbai,52
2025-04-20,banana789,Delhi,57
2025-04-20,banana789,Bangalore,58
2025-04-21,mango123,Mumbai,49
2025-04-21,mango123,Delhi,53
2025-04-21,mango123,Bangalore,50
2025-04-21,apple456,Mumbai,93
2025-04-21,apple456,Delhi,108
2025-04-21,apple456,Bangalore,82
2025-04-21,banana789,Mumbai,44
2025-04-21,banana789,Delhi,77
2025-04-21,banana789,Bangalore,45
2025-04-22,mango123,Mumbai,58
2025-04-22,mango123,Delhi,32
2025-04-22,mango123,Bangalore,43
2025-04-22,apple456,Mumbai,90
2025-04-22,apple456,Delhi,102
2025-04-22,apple456,Bangalore,69
2025-04-22,banana789,Mumbai,51
2025-04-22,banana789,Delhi,55
2025-04-22,banana789,Bangalore,39
2025-04-23,mango123,Mumbai,72
2025-04-23,mango123,Delhi,50
2025-04-23,mango123,Bangalore,47
2025-04-23,apple456,Mumbai,89
2025-04-23,apple456,Delhi,96
2025-04-23,apple456,Bangalore,97
2025-04-23,banana789,Mumbai,57
2025-04-23,banana789,Delhi,55
2025-04-23,banana789,Bangalore,36
2025-04-24,mango123,Mumbai,77
2025-04-24,mango123,Delhi,38
2025-04-24,mango123,Bangalore,64
2025-04-24,apple456,Mumbai,97
2025-04-24,apple456,Delhi,118
2025-04-24,apple456,Bangalore,82
2025-04-24,banana789,Mumbai,51
2025-04-24,banana789,Delhi,68
2025-04-24,banana789,Bangalore,65
2025-04-25,mango123,Mumbai,87
2025-04-25,mango123,Delhi,64
2025-04-25,mango123,Bangalore,88
2025-04-25,apple456,Mumbai,113
2025-04-25,apple456,Delhi,132
2025-04-25,apple456,Bangalore,122
2025-04-25,banana789,Mumbai,80
2025-04-25,banana789,Delhi,92
2025-04-25,banana789,Bangalore,59
2025-04-26,mango123,Mumbai,105
2025-04-26,mango123,Delhi,64
2025-04-26,mango123,Bangalore,91
2025-04-26,apple456,Mumbai,137
2025-04-26,apple456,Delhi,160
2025-04-26,apple456,Bangalore,119
2025-04-26,banana789,Mumbai,74
2025-04-26,banana789,Delhi,114
2025-04-26,banana789,Bangalore,58
2025-04-27,mango123,Mumbai,62
2025-04-27,mango123,Delhi,49
2025-04-27,mango123,Bangalore,75
2025-04-27,apple456,Mumbai,103
2025-04-27,apple456,Delhi,111
2025-04-27,apple456,Bangalore,99
2025-04-27,banana789,Mumbai,56
2025-04-27,banana789,Delhi,83
2025-04-27,banana789,Bangalore,43
2025-04-28,mango123,Mumbai,76
2025-04-28,mango123,Delhi,42
2025-04-28,mango123,Bangalore,73
2025-04-28,apple456,Mumbai,105
2025-04-28,apple456,Delhi,98
2025-04-28,apple456,Bangalore,90
2025-04-28,banana789,Mumbai,51
2025-04-28,banana789,Delhi,67
2025-04-28,banana789,Bangalore,53
2025-04-29,mango123,Mumbai,76
2025-04-29,mango123,Delhi,38
2025-04-29,mango123,Bangalore,47
2025-04-29,apple456,Mumbai,78
2025-04-29,apple456,Delhi,100
2025-04-29,apple456,Bangalore,75
2025-04-29,banana789,Mumbai,61
2025-04-29,banana789,Delhi,58
2025-04-29,banana789,Bangalore,34
2025-04-30,mango123,Mumbai,77
2025-04-30,mango123,Delhi,42
2025-04-30,mango123,Bangalore,56
2025-04-30,apple456,Mumbai,110
2025-04-30,apple456,Delhi,131
2025-04-30,apple456,Bangalore,105
2025-04-30,banana789,Mumbai,61
2025-04-30,banana789,Delhi,72
2025-04-30,banana789,Bangalore,48
2025-05-01,mango123,Mumbai,88
2025-05-01,mango123,Delhi,51
2025-05-01,mango123,Bangalore,60
2025-05-01,apple456,Mumbai,112
2025-05-01,apple456,Delhi,109
2025-05-01,apple456,Bangalore,85
2025-05-01,banana789,Mumbai,51
2025-05-01,banana789,Delhi,83
2025-05-01,banana789,Bangalore,63
2025-05-02,mango123,Mumbai,82
2025-05-02,mango123,Delhi,61
2025-05-02,mango123,Bangalore,72
2025-05-02,apple456,Mumbai,120
2025-05-02,apple456,Delhi,140
2025-05-02,apple456,Bangalore,108
2025-05-02,banana789,Mumbai,81
2025-05-02,banana789,Delhi,111
2025-05-02,banana789,Bangalore,69
2025-05-03,mango123,Mumbai,89
2025-05-03,mango123,Delhi,63
2025-05-03,mango123,Bangalore,100
2025-05-03,apple456,Mumbai,137
2025-05-03,apple456,Delhi,168
2025-05-03,apple456,Bangalore,134
2025-05-03,banana789,Mumbai,96
2025-05-03,banana789,Delhi,114
2025-05-03,banana789,Bangalore,83
2025-05-04,mango123,Mumbai,80
2025-05-04,mango123,Delhi,40
2025-05-04,mango123,Bangalore,65
2025-05-04,apple456,Mumbai,99
2025-05-04,apple456,Delhi,119
2025-05-04,apple456,Bangalore,84
2025-05-04,banana789,Mumbai,49
2025-05-04,banana789,Delhi,96
2025-05-04,banana789,Bangalore,67
2025-05-05,mango123,Mumbai,62
2025-05-05,mango123,Delhi,53
2025-05-05,mango123,Bangalore,64
2025-05-05,apple456,Mumbai,93
2025-05-05,apple456,Delhi,117
2025-05-05,apple456,Bangalore,84
2025-05-05,banana789,Mumbai,53
2025-05-05,banana789,Delhi,86
2025-05-05,banana789,Bangalore,50
2025-05-06,mango123,Mumbai,74
2025-05-06,mango123,Delhi,43
2025-05-06,mango123,Bangalore,57
2025-05-06,apple456,Mumbai,96
2025-05-06,apple456,Delhi,116
2025-05-06,apple456,Bangalore,84
2025-05-06,banana789,Mumbai,58
2025-05-06,banana789,Delhi,69
2025-05-06,banana789,Bangalore,52
2025-05-07,mango123,Mumbai,60
2025-05-07,mango123,Delhi,42
2025-05-07,mango123,Bangalore,70
2025-05-07,apple456,Mumbai,92
2025-05-07,apple456,Delhi,136
2025-05-07,apple456,Bangalore,81
2025-05-07,banana789,Mumbai,51
2025-05-07,banana789,Delhi,74
2025-05-07,banana789,Bangalore,63
2025-05-08,mango123,Mumbai,76
2025-05-08,mango123,Delhi,51
2025-05-08,mango123,Bangalore,85
2025-05-08,apple456,Mumbai,110
2025-05-08,apple456,Delhi,136
2025-05-08,apple456,Bangalore,105
2025-05-08,banana789,Mumbai,55
2025-05-08,banana789,Delhi,85
2025-05-08,banana789,Bangalore,62
2025-05-09,mango123,Mumbai,87
2025-05-09,mango123,Delhi,57
2025-05-09,mango123,Bangalore,93
2025-05-09,apple456,Mumbai,122
2025-05-09,apple456,Delhi,157
2025-05-09,apple456,Bangalore,111
2025-05-09,banana789,Mumbai,71
2025-05-09,banana789,Delhi,89
2025-05-09,banana789,Bangalore,68
2025-05-10,mango123,Mumbai,95
2025-05-10,mango123,Delhi,70
2025-05-10,mango123,Bangalore,99
2025-05-10,apple456,Mumbai,161
2025-05-10,apple456,Delhi,168
2025-05-10,apple456,Bangalore,123
2025-05-10,banana789,Mumbai,88
2025-05-10,banana789,Delhi,117
2025-05-10,banana789,Bangalore,68
2025-05-11,mango123,Mumbai,90
2025-05-11,mango123,Delhi,54
2025-05-11,mango123,Bangalore,86
2025-05-11,apple456,Mumbai,114
2025-05-11,apple456,Delhi,123
2025-05-11,apple456,Bangalore,92
2025-05-11,banana789,Mumbai,64
2025-05-11,banana789,Delhi,72
2025-05-11,banana789,Bangalore,62
2025-05-12,mango123,Mumbai,68
2025-05-12,mango123,Delhi,52
2025-05-12,mango123,Bangalore,57
2025-05-12,apple456,Mumbai,119
2025-05-12,apple456,Delhi,119
2025-05-12,apple456,Bangalore,90
2025-05-12,banana789,Mumbai,79
2025-05-12,banana789,Delhi,78
2025-05-12,banana789,Bangalore,71
2025-05-13,mango123,Mumbai,76
2025-05-13,mango123,Delhi,55
2025-05-13,mango123,Bangalore,76
2025-05-13,apple456,Mumbai,104
2025-05-13,apple456,Delhi,123
2025-05-13,apple456,Bangalore,90
2025-05-13,banana789,Mumbai,49
2025-05-13,banana789,Delhi,79
2025-05-13,banana789,Bangalore,56
2025-05-14,mango123,Mumbai,78
2025-05-14,mango123,Delhi,61
2025-05-14,mango123,Bangalore,68
2025-05-14,apple456,Mumbai,104
2025-05-14,apple456,Delhi,122
2025-05-14,apple456,Bangalore,96
2025-05-14,banana789,Mumbai,56
2025-05-14,banana789,Delhi,93
2025-05-14,banana789,Bangalore,66
2025-05-15,mango123,Mumbai,77
2025-05-15,mango123,Delhi,66
2025-05-15,mango123,Bangalore,83
2025-05-15,apple456,Mumbai,122
2025-05-15,apple456,Delhi,145
2025-05-15,apple456,Bangalore,107
2025-05-15,banana789,Mumbai,69
2025-05-15,banana789,Delhi,102
2025-05-15,banana789,Bangalore,76
2025-05-16,mango123,Mumbai,85
2025-05-16,mango123,Delhi,74
2025-05-16,mango123,Bangalore,89
2025-05-16,apple456,Mumbai,139
2025-05-16,apple456,Delhi,148
2025-05-16,apple456,Bangalore,142
2025-05-16,banana789,Mumbai,93
2025-05-16,banana789,Delhi,108
2025-05-16,banana789,Bangalore,70
2025-05-17,mango123,Mumbai,126
2025-05-17,mango123,Delhi,72
2025-05-17,mango123,Bangalore,90
2025-05-17,apple456,Mumbai,158
2025-05-17,apple456,Delhi,170
2025-05-17,apple456,Bangalore,150
2025-05-17,banana789,Mumbai,98
2025-05-17,banana789,Delhi,106
2025-05-17,banana789,Bangalore,77
2025-05-18,mango123,Mumbai,88
2025-05-18,mango123,Delhi,69
2025-05-18,mango123,Bangalore,76
2025-05-18,apple456,Mumbai,105
2025-05-18,apple456,Delhi,137
2025-05-18,apple456,Bangalore,105
2025-05-18,banana789,Mumbai,69
2025-05-18,banana789,Delhi,90
2025-05-18,banana789,Bangalore,61
2025-05-19,mango123,Mumbai,95
2025-05-19,mango123,Delhi,73
2025-05-19,mango123,Bangalore,85
2025-05-19,apple456,Mumbai,110
2025-05-19,apple456,Delhi,138
2025-05-19,apple456,Bangalore,97
2025-05-19,banana789,Mumbai,77
2025-05-19,banana789,Delhi,82
2025-05-19,banana789,Bangalore,65
2025-05-20,mango123,Mumbai,73
2025-05-20,mango123,Delhi,63
2025-05-20,mango123,Bangalore,68
2025-05-20,apple456,Mumbai,97
2025-05-20,apple456,Delhi,130
2025-05-20,apple456,Bangalore,105
2025-05-20,banana789,Mumbai,76
2025-05-20,banana789,Delhi,92
2025-05-20,banana789,Bangalore,76
2025-05-21,mango123,Mumbai,80
2025-05-21,mango123,Delhi,52
2025-05-21,mango123,Bangalore,66
2025-05-21,apple456,Mumbai,123
2025-05-21,apple456,Delhi,135
2025-05-21,apple456,Bangalore,105
2025-05-21,banana789,Mumbai,74
2025-05-21,banana789,Delhi,81
2025-05-21,banana789,Bangalore,72
2025-05-22,mango123,Mumbai,75
2025-05-22,mango123,Delhi,83
2025-05-22,mango123,Bangalore,95
2025-05-22,apple456,Mumbai,122
2025-05-22,apple456,Delhi,146
2025-05-22,apple456,Bangalore,114
2025-05-22,banana789,Mumbai,64
2025-05-22,banana789,Delhi,84
2025-05-22,banana789,Bangalore,68
2025-05-23,mango123,Mumbai,100
2025-05-23,mango123,Delhi,81
2025-05-23,mango123,Bangalore,114
2025-05-23,apple456,Mumbai,150
2025-05-23,apple456,Delhi,169
2025-05-23,apple456,Bangalore,127
2025-05-23,banana789,Mumbai,77
2025-05-23,banana789,Delhi,103
2025-05-23,banana789,Bangalore,93
2025-05-24,mango123,Mumbai,116
2025-05-24,mango123,Delhi,72
2025-05-24,mango123,Bangalore,97
2025-05-24,apple456,Mumbai,160
2025-05-24,apple456,Delhi,176
2025-05-24,apple456,Bangalore,160
2025-05-24,banana789,Mumbai,108
2025-05-24,banana789,Delhi,118
2025-05-24,banana789,Bangalore,90
2025-05-25,mango123,Mumbai,83
2025-05-25,mango123,Delhi,80
2025-05-25,mango123,Bangalore,102
2025-05-25,apple456,Mumbai,115
2025-05-25,apple456,Delhi,145
2025-05-25,apple456,Bangalore,100
2025-05-25,banana789,Mumbai,79
2025-05-25,banana789,Delhi,110
2025-05-25,banana789,Bangalore,88
2025-05-26,mango123,Mumbai,92
2025-05-26,mango123,Delhi,74
2025-05-26,mango123,Bangalore,95
2025-05-26,apple456,Mumbai,106
2025-05-26,apple456,Delhi,131
2025-05-26,apple456,Bangalore,106
2025-05-26,banana789,Mumbai,92
2025-05-26,banana789,Delhi,101
2025-05-26,banana789,Bangalore,72
2025-05-27,mango123,Mumbai,90
2025-05-27,mango123,Delhi,81
2025-05-27,mango123,Bangalore,64
2025-05-27,apple456,Mumbai,110
2025-05-27,apple456,Delhi,128
2025-05-27,apple456,Bangalore,108
2025-05-27,banana789,Mumbai,82
2025-05-27,banana789,Delhi,101
2025-05-27,banana789,Bangalore,72
2025-05-28,mango123,Mumbai,80
2025-05-28,mango123,Delhi,74
2025-05-28,mango123,Bangalore,91
2025-05-28,apple456,Mumbai,111
2025-05-28,apple456,Delhi,134
2025-05-28,apple456,Bangalore,115
2025-05-28,banana789,Mumbai,72
2025-05-28,banana789,Delhi,97
2025-05-28,banana789,Bangalore,64
2025-05-29,mango123,Mumbai,105
2025-05-29,mango123,Delhi,64
2025-05-29,mango123,Bangalore,90
2025-05-29,apple456,Mumbai,120
2025-05-29,apple456,Delhi,158
2025-05-29,apple456,Bangalore,123
2025-05-29,banana789,Mumbai,93
2025-05-29,banana789,Delhi,103
2025-05-29,banana789,Bangalore,88
2025-05-30,mango123,Mumbai,97
2025-05-30,mango123,Delhi,70
2025-05-30,mango123,Bangalore,100
2025-05-30,apple456,Mumbai,153
2025-05-30,apple456,Delhi,186
2025-05-30,apple456,Bangalore,146
2025-05-30,banana789,Mumbai,94
2025-05-30,banana789,Delhi,127
2025-05-30,banana789,Bangalore,95
2025-05-31,mango123,Mumbai,115
2025-05-31,mango123,Delhi,79
2025-05-31,mango123,Bangalore,109
2025-05-31,apple456,Mumbai,161
2025-05-31,apple456,Delhi,189
2025-05-31,apple456,Bangalore,145
2025-05-31,banana789,Mumbai,104
2025-05-31,banana789,Delhi,136
2025-05-31,banana789,Bangalore,107
2025-06-01,mango123,Mumbai,93
2025-06-01,mango123,Delhi,84
2025-06-01,mango123,Bangalore,82
2025-06-01,apple456,Mumbai,127
2025-06-01,apple456,Delhi,146
2025-06-01,apple456,Bangalore,135
2025-06-01,banana789,Mumbai,79
2025-06-01,banana789,Delhi,88
2025-06-01,banana789,Bangalore,84
2025-06-02,mango123,Mumbai,98
2025-06-02,mango123,Delhi,68
2025-06-02,mango123,Bangalore,97
2025-06-02,apple456,Mumbai,121
2025-06-02,apple456,Delhi,150
2025-06-02,apple456,Bangalore,111
2025-06-02,banana789,Mumbai,84
2025-06-02,banana789,Delhi,104
2025-06-02,banana789,Bangalore,72
2025-06-03,mango123,Mumbai,90
2025-06-03,mango123,Delhi,62
2025-06-03,mango123,Bangalore,92
2025-06-03,apple456,Mumbai,112
2025-06-03,apple456,Delhi,116
2025-06-03,apple456,Bangalore,100
2025-06-03,banana789,Mumbai,70
2025-06-03,banana789,Delhi,99
2025-06-03,banana789,Bangalore,68
2025-06-04,mango123,Mumbai,99
2025-06-04,mango123,Delhi,68
2025-06-04,mango123,Bangalore,94
2025-06-04,apple456,Mumbai,120
2025-06-04,apple456,Delhi,155
2025-06-04,apple456,Bangalore,115
2025-06-04,banana789,Mumbai,93
2025-06-04,banana789,Delhi,93
2025-06-04,banana789,Bangalore,95
2025-06-05,mango123,Mumbai,103
2025-06-05,mango123,Delhi,82
2025-06-05,mango123,Bangalore,101
2025-06-05,apple456,Mumbai,133
2025-06-05,apple456,Delhi,138
2025-06-05,apple456,Bangalore,115
2025-06-05,banana789,Mumbai,99
2025-06-05,banana789,Delhi,92
2025-06-05,banana789,Bangalore,91
2025-06-06,mango123,Mumbai,112
2025-06-06,mango123,Delhi,100
2025-06-06,mango123,Bangalore,95
2025-06-06,apple456,Mumbai,167
2025-06-06,apple456,Delhi,166
2025-06-06,apple456,Bangalore,133
2025-06-06,banana789,Mumbai,113
2025-06-06,banana789,Delhi,126
2025-06-06,banana789,Bangalore,94
